Name,Guest OS SMP available,Runs arbitrary OS,Supported guest OS drivers,Method of operation,Typical use,Speed relative to host OS,Commercial support available
"Containers, or Zones",",,Uses native device drivers,Operating system-level virtualization,"Server consolidation with workload isolation, single workload containment, hosting, dev/test/prod",Near native,
Hyper-V Server 2008 R2,",,,Virtualization,"Server consolidation, service continuity, dev/test, desktop virtualization, cloud computing",Up to near nativedate=November 2010osvirt,
OpenVZ,,,Compatible,Operating system-level virtualization,Virtualized server isolation,Up to near nativedate=November 2010osvirt,
KVM,,,,AMD-V and Intel-VT-x,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes",Up to near nativedate=November 2010osvirt,
Linux-VServer,,,Compatible,Operating system-level virtualization,"Virtualized server isolation and security, server consolidation, cloud computing",Up to near nativedate=November 2010osvirt,
Oracle VM Server for x86,,,,Paravirtualization and hardware virtualization,"Server consolidation and security, enterprise and business deployment",Up to near nativedate=November 2010,
Oracle VM Server for SPARC (LDoms),,",,Paravirtualization and hardware virtualization,"Server consolidation and security, enterprise and business deployment",Up to near nativedate=November 2010,
OVPsim,,,,Full system simulation with optional component virtualization,"Software development (early, embedded), advanced debug for single and multicore software, compiler and other tool development, computer architecture research, hobbyist",Depends on target architecture (full and slow hardware emulation for guests incompatible with host)date=November 2010,"
PikeOS,,",,Paravirtualization,Safety and security critical embedded systems.,Up to near nativedate=November 2010,
ScaleMP vSMP Foundation,"date=November 2010",,,Virtualization,"Server consolidation, Cloud computing",?,
Simics,,,,"Full system simulation of processors, MMUs, devices, disks, memories, networks, etc.","Software development, advanced debug for single and multicore software, compiler and other tool development, computer architecture research, bug transportation, automated testing, system architecture, long-term support of safety-critical systems, early hardware availability, virtual prototyping","Depends on host machine and target architecture. Runs at near-native speeds for x86-on-x86 using VT-x, cross-simulation of other architectures can be faster or slower than real-time depending on how fast the target is and how big the target is (number of processors, number of target machines, and how much the simulation can be parallelized)",
Sun xVM Server,,,,Paravirtualization and porting or hardware virtualization,"Servers, Development",Up to near nativedate=November 2010,Yes
SVISTA 2004,,,,,"Hobbyist, Developer, Business workstation",,
TRANGO,,patch,,Paravirtualization and porting or hardware virtualization,"Mob. phone, STB, routers, etc.",Near nativenativedate=November 2010,
User Mode Linux,,,special guest kernel+modules required,Porting,Developer (as a separate machine for a server or with X11 networking),Non-significantly slower than native native speed (all calls to kernel are proxied)date=November 2010,
OKL4 Microvisor,,",,"Paravirtualization, Hardware assisted virtualization","Mobile, embedded, security, safety critical, networking, legacy OS, etc.",Near native,
Oracle VirtualBox,,,,Virtualization,"Business workstation, server consolidation, service continuity, developer, hobbyist",Up to near nativedate=November 2010,
Virtual Iron 3.1,",,,Native virtualization,"Server consolidation, service continuity, dev/test",?,
Virtual PC 2007,,,,"Virtualization, guest calls trapping where supported","Hobbyist, Developer, Business workstation",Up to near nativedate=November 2010 with virtual machine additions,
Windows Virtual PC,date=December 2019,,,Hardware virtualization,"Developer, Business workstation, support for Compatibility with Windows XP applications",Up to near nativedate=November 2010 with virtual machine additions,
Virtual PC 7 for Mac,,,,dynamic recompilation (guest calls trapping where supported),"Hobbyist, Developer, Business workstation",Slow date=November 2010,
Virtual Server 2005 R2,,,,Virtualization (guest calls trapping where supported),"Server, server farm",Up to near native with virtual machine additions but slower than with hypervisor due to proxied callsdate=November 2010,
CoWare Virtual Platform,,,,Full-system virtualization (Processor Core ISA + Hardware + External connections),"Early embedded software development and integration (from driver to application), Multi-core software debugging and optimization","Depending on the system characteristics and the software itself, ranges from faster than real time to slowdate=November 2010.",
Virtuozzo,,,Compatible,Operating system-level virtualization,"Server consolidation, service continuity, disaster recovery, service providers",Up to near nativedate=November 2010,
VMware ESXi Server 5.5 (vSphere),",,,Virtualization,"Server consolidation, service continuity, dev/test, cloud computing, business critical applications, Infrastructure as a Service IaaS",Up to near nativedate=November 2010,
VMware ESX Server 4.0 (vSphere),",,,Virtualization,"Server consolidation, service continuity, dev/test, cloud computing",Up to near nativedate=November 2010,
VMware ESX Server 3.0,",,,Virtualization,"Server consolidation, service continuity, dev/test",Up to near nativedate=November 2010,
VMware ESX Server 2.5.3,",,,Virtualization,"Server consolidation, service continuity, dev/test",Up to near nativedate=November 2010,
VMware Fusion,,,,Virtualization,"Hobbyist, Developer, Tester, Business workstation",Up to near nativedate=November 2010,
VMware Server,,,,Virtualization,"Server/desktop consolidation, dev/test",Up to near nativedate=November 2010,
VMware Workstation,,,,Paravirtualization (VMI) and virtualization,"Technical professional, advanced dev/test, trainer",Up to near nativedate=November 2010,
VMware Player,,,,Virtualization,"Technical professional, advanced dev/test, trainer, end user on prebuilt machines",Up to near nativedate=November 2010,
Xen,",,,Paravirtualization and porting or hardware virtualization,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.",Up to native[19],
XCP-ng,,,,Paravirtualization and porting or hardware virtualization,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, desktop virtualization, public cloud services, hostings services and other purposes.",Up to nativedate=January 2018,
XenServer,,,,Paravirtualization and porting or hardware virtualization,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.",Up to native[19],
XtratuM,,,,Paravirtualization,"Embedded, safety critical, secure",Near to nativedate=May 2020,
z/VM,",,",Virtualization (among first systems to provide hardware assists),Servers,Near nativezvm_performance,
z LPARs,",,",Microcode and hardware hypervisor,Servers,Native: System z machines always run with at least one LPAR,
Name,Guest OS SMP available,Runs arbitrary OS,Supported guest OS drivers,Method of operation,Typical use,Speed relative to host OS,Commercial support available
