Format,Languages
"name[index] or name[index1, index2] etc.","ALGOL 58, ALGOL 60, ALGOL 68, AWK, Modula, Pascal, Object Pascal, C#, S-Lang[5]"
name[index] or name[index1; index2] etc. or index?name or index1 index2?name etc.,APL
name[index],"ActionScript, C, CFML, Ch, Cobra, C++, D, Go, Haxe, Java, JavaScript, Julia, Lingo, Lua, Nim, Objective-C (NSArray *), Perl,[5] Python,[5] R, Ruby,[5] Rust, Swift"
$name[index],"Perl,[5] PHP, Windows PowerShell,[5] XPath/XQuery[4]"
@name[index],Raku
"name(index) or name(index1, index2) etc.","Ada, ALGOL W, BASIC, COBOL, Fortran, RPG, GNU Octave, MATLAB, PL/I, Scala, Visual Basic, Visual Basic .NET, Xojo"
$name(index),XPath/XQuery[4]
name.(index),OCaml
name.[index],F#
name/index,Red
name ! index,Haskell
$name ? index,XPath/XQuery[4]
(vector-ref name index),Scheme
(aref name index),Common Lisp
(elt name index),ISLISP
nameindex,"Mathematica,[5] Wolfram Language"
name at:index,Smalltalk
[name objectAtIndex:index],Objective-C (NSArray * only)
