Date,Nation,Name,Asian First,World achievements
4 October 1957,,Baikonur Cosmodrome,Satellite launch pad,"The first satellite, Sputnik 1, was launched."
11 February 1970,,Ohsumi,Satellite,"The smallest satellite launch vehicle (L-4S; 9.4t weight, 1.4m diameter)"
24 February 1975,,Taiyo,Solar probe,
26 October 1975,,FSW-0,Satellite recovery[69],
26 October 1975,,FSW-0: – 10m (1975) FSW-1B: – 4m (1992)[70] Beidou: – 0.5m (till 2007)[71],High resolution imaging satellite,
8 July 1976,,Palapa A1,Geosynchronous satellite (launched by NASA),
23 February 1977,,N-I,Geosynchronous launch,
14 July 1977,,GMS,Weather satellite (launched by NASA),-->
21 February 1979,,Hakucho,Space observatory,
23 July 1980,,Ph?m Tuân,Asian in space (Soyuz 37),
20 September 1981,,FB-1,Simultaneous satellite launch[72],
8 January 1985,,Sakigake,Leaving Earth orbit,The first interplanetary launch by solid rocket (M-3SII)
19 March 1990,,Hagoromo,Reach lunar orbit (assumed),
7 April 1990,,CZ-3,Commercial launch (AsiaSat 1),
10 April 1993,,Hiten,Intentional lunar impact,The first aerobraking test[73]
8 July 1994,,Chiaki Mukai,Asian woman in space (STS-65),
19 November 1997,,Takao Doi,Spacework (STS-87),
28 November 1997,,ETS-VII,Rendezvous docking,
3 July 1998,,Nozomi,Martian mission (Failure),
30 October 2000,,Beidou,Satellite navigation system,
10 September 2002,,Kodama[74],Data relay satellite (with ESA),
15 October 2003,,Yang Liwei,First man in space launched by an Asian space program,
15 October 2003,,Shenzhou 5,Crewed spacecraft,
19 November 2005,,Hayabusa,Soft-landed probe on extraterrestrial object,"The first asteroid ascent, sample return from an asteroid"
11 January 2007,,FY-1C,ASAT test,"Highest in history with altitude 865 km, also the fastest with speed 18k miles"
23 February 2008,,WINDS,Internet satellite,The fastest internet satellite[75]
11 March 2008,,Japanese Experiment Module,"Manned foundations in space (STS-123, STS-124, STS-127)",The world's largest pressurized volume in space[76]
25 April 2008,,Tianlian I,Indigenous Tracking & Data Relay Satellite System First TDRS system to support crewed missions,
27 September 2008,,Zhai Zhigang (Shenzhou 7),Indigenous EVA,
27 September 2008,,BanXing,Crewed spacecraft-launched satellite,
14 November 2008,,Moon Impact Probe,Probe designed for Lunar impact,Discovered water on the Moon before impact.[77][78]
23 January 2009,,GOSAT,Greenhouse gas explorer[79],
20 May 2010,,Akatsuki,First Asian Venus mission,
21 May 2010,,IKAROS,Solar sail,The first spacecraft to successfully demonstrate solar-sail technology in interplanetary space
25 August 2011,,Chang'e 2,Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis).,
29 September 2011,,Tiangong-1,First independent Asian Space station,
18 June 2012,,Shenzhou 9,First crewed space docking by an Asian country (with Tiangong-1),
14 December 2013,,Chang'e 3/Yutu,First lunar soft landing and lunar rover by an Asian country.,First lunar soft landing in 21st century
24 September 2014,,Mars Orbiter Mission,First successful Mars mission by an Asian country,First Martian mission by a country to succeed on the first attempt. Third country to do so after the USSR and the USA.
15 February 2017,,PSLV-C37,First to successfully launch and deploy 104 satellites simultaneously from a single rocket (PSLV -C37).[80][81],First country in the world to launch more than 100 satellites at one go.
3 January 2019,,Chang'e 4,First soft landing on the far side of the Moon,First soft landing on the far side of the Moon by any country. Landed with Yutu-2 rover.
