English,Malaysian,Indonesian
e-mail,zsme-mel,"idsurel (standard, shortened of idsurat elektronik (electronic mail)), email (rarely used in everyday spelling, often used in online spelling (e.g. website-based registration or social account))"
Easter,"zsmEaster, zsmPaskah strictly used for Jewish Passover",idPaskah from Portuguese ptPascoa
Ecuador,zsmEcuador,idEkuador
editor,zsmpenyunting,"ideditor, idpenyunting, idredaktur (from French frrédacteur through Dutch – refers to editors of mass printed media)"
editorial (board),zsmkakitangan editorial,"idredaksi (from Dutch nlredactie),ideditorial"
effectiveness,zsmkeberkesanan,"idkeampuhan, idkeefektifan, idefektivitas (from Dutch nleffectiviteit)"
efficiency,zsmkecekapan,"idefisiensi, idkedayagunaan, idkemangkusan"
Eid ul-Fitr,"zsmHari Raya Aidilfitri, zsmLebaran[38]","idHari Raya Idulfitri – Idul Fitri nonstandard spelling, but common, idLebaran colloquial – from Javanese"
eight,zsmlapan used as colloquial abbreviation in Indonesian,iddelapan used in Malaysia before the spelling reform
elasticity (economy),zsmkeanjalan,"idbingkas, idelastisitas"
electricity,zsmtenaga elektrik ,"idlistrik, idkelistrikan, idsetrum (from Dutch nlstroom)"
embargo (political),zsmsekatan (means "obstacle" or "room which separated with partition" in Indonesian),"idboikot, idembargo"
emergency,zsmkecemasan (used for anxiety or "too anxious" (condition) in Indonesian),"iddarurat (from Arabic – also used in Malaysia to express a state of emergency), idkegawatan"
emperor,zsmmaharaja,"idkaisar (from Dutch nlkeizer), idmaharaja (from Sanskrit)"
empire,zsmempayar,"idkekaisaran, idkemaharajaan, idimperium (from Latin)"
enamel,zsmenamel,idemail (from Dutch nlemaille)
energy,zsmtenaga,"idenergi, idtenaga (for "power")"
engine,zsmenjin,"idmesin, idmotor"
England,zsmnegeri Inggeris,idInggris
eraser,zsmgetah pemadam,idpenghapus
erosion,zsmhakisan,"idpengikisan, iderosi (from Dutch nlerosie)"
escalator,zsmtangga gerak,"idtangga berjalan, ideskalator"
estimation,"zsmjangkaan, zsmanggaran","idperkiraan, iddugaan, idestimasi"
Ethiopia,zsmHabsyah from Arabic ar?????? aral-habsha (Abyssinia),idEtiopia
Europe,zsmEropah,"idEropa, idEuropa (nonstandard)"
evacuation,zsmpemindahan (means "translocation" or "relocation" in Indonesian),"idpengungsian, idevakuasi (from Dutch nlevacuatie)"
evaluation,zsmpenilaian,"idpenilaian, idevaluasi (from Dutch nlevaluatie)"
evening,zsmteja,idsore idpetang
excess,zsmlebihan,"idkelebihan, idberlebihan, idekses"
excretion,zsmperkumuhan,"idekskresi, idpembuangan kotoran"
execution (death sentence),zsmhukuman mati,"ideksekusi (from Dutch nlexecutie), id(peng)hukuman mati"
exhaust (pipe),zsmekzos,"idknalpot (from Dutch, in which it also means "muffler")"
exploration,"zsmpenjelajahan, zsmeksplorasi","ideksplorasi, idpenjelajahan"
export,zsmeksport,idekspor
expose,zsmpendedahan,"idpaparan, idekspos, idpendedahan (virtually never used in Indonesia, listed by KBBI)"
extinct,zsmpupus,"idpadam (of flame or light), idpunah (of species), idpupus (loss of hope)"
