,read-write,read-only,write-only
ABAP Objects,colspan=3 ,,
C++ (STL),colspan=3 ,,
C#,type Bar { get; set; },type Bar { get; private set; },type Bar { private get; set; }
D,colspan=3 ,,
Java,colspan=3 ,,
Objective-C 2.0 (Cocoa),@property (readwrite) type bar; and then inside @implementation @synthesize bar;,@property (readonly) type bar; and then inside @implementation @synthesize bar;,
Swift,var bar : type,let bar : type,
Eiffel,,,
Python,"@property def bar(self): Tabinstructions @bar.setter def bar(self, value): Tabinstructions",@property def bar(self): Tabinstructions,"bar = property() @bar.setter def bar(self, value): Tabinstructions"
Visual Basic .NET,Property Bar As type« = initial_value» (VB 10),,
PHP,,,
Perl[34],use base qw(Class::Accessor); ->mk_accessors('Bar');,use base qw(Class::Accessor); ->mk_ro_accessors('Bar');,use base qw(Class::Accessor); ->mk_wo_accessors('Bar');
Raku,colspan=3 ,,
Ruby,attr_accessor :bar,attr_reader :bar,attr_writer :bar
Windows PowerShell,,,
OCaml,colspan=3 ,,
F#,"member val Bar = value with get, set",,
COBOL,level-number bar clauses PROPERTY.,level-number bar clauses PROPERTY «WITH» NO SET.,level-number bar clauses PROPERTY «WITH» NO GET.
Cobra,pro bar from var «as type»,get bar from var «as type»,set bar from var «as type»
