Web host,Storage size,Max. file size,Traffic or bandwidth limit,Remote uploading?,Developer API?,FTP upload possible?,File versioning,Follows symlinks,Client-side encryption[1],Free GB (number only),Append-only support? [2],Lifecycle Policy support?,Misc. notes
Amazon Drive[3],"5 GB 3 mo. free trial, up to 30 TB paid","2 GB upload via Web, 50 GB per file via Drive app and third party clients [4]",Amazon S3 limits,,,,,?,?,5,,,"Free 5GB for everybody, except Mexico and China."
Amazon S3[5],"5 GB 12-month free trial with credit-card, (paid bandwidth), unlimited paid","5 GB per file, unlimited files per bucket",Amazon S3 limits,,"REST, SOAP",?,,?,?,0,,,
Backblaze B2,"10 GB free, unlimited paid[6]",?,?,?,,?,,?,?,10,"fileWrite allows existing files to become "hidden", which may get deleted with lifecycle rule daysFromHidingToDeleting",,
Baidu Cloud,2 TB (6 GB free)[7],"4 GB free, 20 GB paid [8]"," Traffic limit is not stable, after going over the traffic limit, there is a bandwidth limited to 500 KB/s then 10 KB/s after another traffic limit.",,,,,,?,6,,,Currently in China only
BorgBase,"5 GB free, unlimited paid[9]",?,?,?,,?,?,?,?,5,,?,
Box[10][11],"free trial, 100 GB paid (Starter), Unlimited Business, Unlimited Enterprise[12]","250 MB free Personal, 5 GB paid Personal, 5 GB Business, 5 GB Enterprise[12]","10 GB/month free, 2 TB/month paid[13]", 30 MB per file via IFTTT[14],, Business and Enterprise customers only[16],,,?,10,,,Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13
CloudMe[18],"3 GB free, +500 MB for referrals up to 16 GB, 500 GB paid[19]","150 MB free, Unlimited premium",None,," REST, SOAP, WebDAV[21]",,,?,?,3,,,"Primarily focused on media files, synchronization and backup with web sharing."
Dropbox[24],"2 GB free, +500 MB for referrals up to 18 GB; 1 TB, 2 TB, or unlimited paid[25]","10 GB, Unlimited using client application","20 GB/day free, 200 GB/day paid[26]",,,," 30 days by default, 1 year w/ add-on[28]",,,2,,,"Synchronization, backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5, 100 GB free with Samsung device"
Google Drive[29][30],"15 GB free,[31] 100 GB to 30 TB paid;[32][33] Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users)",5 TB[34],?,,OAuth2,,,,,15,,,Additional space for limited time period with some devices and services.[36][37][38][39]
IBM Connections Files Cloud,1 TB paid (60-day free trial)[40],2 GB,None,,"CMIS, REST, Atom (standard) and OAuth2",,,?,?,5,,,Subscription costs US$6/year[41]
Apple iCloud[42]," 5 GB free, 50 GB to 2 TB paid",50 GB,200/400/600 GB per month,,,No,Partly,,?,5,,,25 GB for previous MobileMe account subscriptions[43]
Jumpshare,"2 GB free, 1 TB paid","250 MB free, Unlimited paid","5GB per month free, 200GB per month on paid plan",,,,,,,2,,,"Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips."
MediaFire[44],"10 GB, +50 GB for referrals up to 1 TB Pro accounts; 100 TB Business accounts",20 GB[45]," 10 TB pro plan, Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.[46]",,,,,?,,10,,,Resuming of interrupted downloads possible.
Mega[48],"15 GB free, up to 50 GB free trial,[49] up to 16 TB paid",Available cloud drive space[50]," 10 GB free, Up to 96 TB per month paid.[51]",,,,,?,,15,,,"Apps for Windows, macOS, Linux, iOS, Android, Windows Phone, Blackberry, Chrome, Firefox, Safari[53] Supports HTML5 browsers.[54]"
Microsoft OneDrive[55],"5 GB free (since 31 January 2016)group=NotePreviously 15 GB[56] and 25 GB since 2008.[57] +500 MB free for referrals up to 5 GB; 200 GB paid[58] 1 TB with paid Office 365 account by default, can register 5 accounts for up to 5TB combined.date=May 2020",100 GB[59],None,,,,,,?,5,,,Fetch files allows remote access of files on Windows with OneDrive installed[63] 25 GB free for grandfathered accounts before April 2012[64]
SecureSafe[65]," 100MB free, up to 100GB paid [66]",? 2GB limit for SecureSend,None,,,,,?,,0.1,,,Offers Data Inheritance [67]
SugarSync[68]," 60 GB personal paid, Unlimited GB professional paid",None,"10 GB/file/day free, 250 GB file/day paid",,REST[69],?,,?,,0,,,If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.[70]
Tencent Weiyun[71],2 TB (10 GB free),"1 GB regular upload, 32 GB Power Upload plug-in",None,,,,,?,,10,,,In English and Chinese (free version in Chinese only)
TitanFile," No free space, unlimited paid","100 MB free, 1 GB paid, 4 GB professional",None,No,,,,?,,0,,,"HIPAA-compliant, group messaging, audit logs, granular security control, embedable on website."
Tresorit[75]," 3 GB free trial, 100-1000 GB paid plans[76]"," 500 MB free, 5 GB premium, 10 GB rest of paid plans[77]",None,,,,For paid plans only[78],,,3,,,Files are client-side encrypted; zero-knowledge principles are used to prevent Tresorit itself from reading the files.
Wasabi, unlimited. paid only.[80],?,?,?,,?,?,?,?,0,,?,
Yandex Disk," up to 20 GB free (10 GB when registering), up to 1024 GB paid"," 2 GB upload via Web or WebDAV, 50 GB upload via application", 200% of storage size per day,,",,14 days with free accounts 90 days with paid ones[82],?,,10,,,"English, Russian, Ukrainian and Turkish interfaces. Service is tightly integrated with other Yandex services. Native apps for Windows, macOS, Linux, iOS, Android. Client-side encryption is available with 3rd party open source clients."
Web host,Storage size,Max. file size,Traffic or bandwidth limit,Remote uploading?,Developer API?,FTP upload possible?,File versioning,Follows symlinks,Client-side encryption[1],Free GB (number only),Append-only support? [2],Lifecycle Policy support?,Misc. notes
