Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
Developed by,"Google, Open Handset Alliance",Apple Inc.,"Linux Foundation, Tizen Association, Samsung, Intel","Sailfish Alliance, Mer, Jolla and Sailfish community contributors",UBports and Ubuntu community contributors (previously Canonical Ltd.),KDE and Blue Systems,Purism,PostmarketOS community,KaiOS Technologies Inc.(TCL)
Market share[1][2],70.92%,26.53%,0.22%,N/A,N/A,N/A,N/A,N/A,0.07%
Current version,11,14.1,4.0.0.7,3.4.0.24,16.04 OTA-11,5.16.4,9.0,alpha,2.6.0
Development version,12,N/A,5.5 M1,Unknown,Unknown,Unknown,Unknown,N/A,
Current version release dates,20200908,20201020,20181116,20201013[3],20200513[4],20190730[5],20190926df=yes[6],,
License,"Base system is Free and open-source, but usually bundled with proprietary apps and drivers, which provide an increasing amount of the functionality.[7]",,","Free and open-source, but the UI and the SDK are proprietary and closed source","Free and open-source, mainly the GPL[8]","Free and open-source, mainly the GPL","Free and open-source, mainly the GPL","Free and open-source, GPL",
OS family,Modified Linux kernel based,Darwin,Linux (based on Combination of Linux MeeGo and Samsung Bada),Linux,Linux (based on Ubuntu),Linux,Linux (based on Debian),Linux (based on Alpine Linux),Firefox OS / Open Web (based on Linux kernel)
Supported CPU architecture,"ARM (32-bit ARMv7-A and 64-bit ARMv8-A only), x86, x86-64[9]",64-bit ARMv8-A only,"ARM, x86, x86-64","ARM, x86-64","ARM, x86-64","ARM, ?",Convergence operating system,"ARM, ARM64, x86, x86-64",ARM
Programmed in,"C, C++, Java, Kotlin","C, C++, Objective-C, Swift","C++, Xamarin.Forms (.NET C#, F#, VB[10])","C++, QML, Python","Apps: HTML5, QML, Go, JavaScript, C++ System: C, C++, QML","C++, QML",,Python install tool and shell script packages,
Public issues list,,,,,,,,,date=August 2019
DRM-free[19],,,,,,date=August 2019,date=August 2019,,?
Device independent system updates,Partial system updates since Oreo[24] 3rd party software like LineageOS[25],,,,,,,,"For feature phones, not smart phones"
Wireless system updates,,5+[29],,,,,,,
GPU accelerated GUI,3+[30],,?,,,,,,
Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
