Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
Developed by,"Google, Open Handset Alliance",Apple Inc.,"Linux Foundation, Tizen Association, Samsung, Intel","Sailfish Alliance, Mer, Jolla and Sailfish community contributors",UBports and Ubuntu community contributors (previously Canonical Ltd.),KDE and Blue Systems,Purism,PostmarketOS community,KaiOS Technologies Inc.(TCL)
Market share[1][2],70.92%,26.53%,0.22%,N/A,N/A,N/A,N/A,N/A,0.07%
Current version,11,14.1,4.0.0.7,3.4.0.24,16.04 OTA-11,5.16.4,9.0,alpha,2.6.0
Development version,12,N/A,5.5 M1,Unknown,Unknown,Unknown,Unknown,N/A,
Current version release dates,"September 8, 2020; 2 months ago (2020-09-08)","October 20, 2020; 32 days ago (2020-10-20)","November 16, 2018; 2 years ago (2018-11-16)","October 13, 2020; 39 days ago (2020-10-13)[3]","May 13, 2020; 6 months ago (2020-05-13)[4]","July 30, 2019; 15 months ago (2019-07-30)[5]",26 September 2019; 13 months ago (2019-09-26)[6],,
License,"Base system is Free and open-source, but usually bundled with proprietary apps and drivers, which provide an increasing amount of the functionality.[7]",Proprietary,"Partial; both proprietary and open-source components, assorted licenses","Free and open-source, but the UI and the SDK are proprietary and closed source","Free and open-source, mainly the GPL[8]","Free and open-source, mainly the GPL","Free and open-source, mainly the GPL","Free and open-source, GPL",Proprietary except for open source kernel patches (formerly the MPL 2.0 B2G OS)
OS family,Modified Linux kernel based,Darwin,Linux (based on Combination of Linux MeeGo and Samsung Bada),Linux,Linux (based on Ubuntu),Linux,Linux (based on Debian),Linux (based on Alpine Linux),Firefox OS / Open Web (based on Linux kernel)
Supported CPU architecture,"ARM (32-bit ARMv7-A and 64-bit ARMv8-A only), x86, x86-64[9]",64-bit ARMv8-A only,"ARM, x86, x86-64","ARM, x86-64","ARM, x86-64","ARM, ?",Convergence operating system,"ARM, ARM64, x86, x86-64",ARM
Programmed in,"C, C++, Java, Kotlin","C, C++, Objective-C, Swift","C++, Xamarin.Forms (.NET C#, F#, VB[10])","C++, QML, Python","Apps: HTML5, QML, Go, JavaScript, C++ System: C, C++, QML","C++, QML",,Python install tool and shell script packages,
Public issues list,Yes[11],3rd party[12],Yes[13],Yes[14],Yes[15],Yes[16],Yes[17],Yes[18],No[citation needed]
DRM-free[19],No[20] since Android 4.1[21] and Android 4.3[22] and more restrictions on Android 4.4[23],No – FairPlay,Yes,Yes,Yes,Yes[citation needed],Yes[citation needed],Yes,?
Device independent system updates,Partial system updates since Oreo[24] 3rd party software like LineageOS[25],Yes[26],No,Yes,Yes[27],,,Yes.[28] Intended for use on old mobile devices,"For feature phones, not smart phones"
Wireless system updates,Yes,5+[29],No,Yes,Yes,,,,
GPU accelerated GUI,3+[30],Yes,?,Yes,Yes,,,,
Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
